0.7818181818,0.7803030303,0.7803030303,0.7833333333
0.3320075758,0.3285984848,0.3295454545,0.3329545455
0.2534090909,0.2522727273,0.2517992424,0.2535037879
0.1881155303,0.1887784091,0.1872159091,0.1853219697
0.8560606061,0.8560606061,0.85,0.8590909091
0.5013257576,0.5009469697,0.5001893939,0.4873106061
0.4116477273,0.4115530303,0.4057765152,0.3994318182
0.3488636364,0.3494791667,0.3474431818,0.3313920455
0.8909090909,0.8924242424,0.8924242424,0.896969697
0.6350378788,0.6248106061,0.6236742424,0.5952651515
0.5559659091,0.5543560606,0.5497159091,0.5084280303
0.4859375,0.4848958333,0.4826704545,0.4326231061
0.9272727273,0.9227272727,0.9136363636,0.9303030303
0.7136363636,0.7126893939,0.7017045455,0.6662878788
0.6554924242,0.6550189394,0.6498106061,0.5855113636
0.6022727273,0.6022727273,0.5989583333,
0.9545454545,0.9484848485,0.9409090909,0.9484848485
0.784280303,0.7768939394,0.7759469697,0.7106060606
0.7432765152,0.7389204545,0.7339015152,
0.6919507576,0.6904356061,0.6863162879,
